Price,Address,Locality,Beds
"$725,000",0 Gateway,"Rock Springs, WY 82901",
"$452,900",1003 Winchester Blvd.,"Rock Springs, WY 82901",4
"$396,900",600 Talladega,"Rock Springs, WY 82901",5
"$389,900",3239 Spearhead Way,"Rock Springs, WY 82901",4
"$254,000",522 Emerald Street,"Rock Springs, WY 82901",3
"$252,900",1302 Veteran's Drive,"Rock Springs, WY 82901",4
"$210,000",1021 Cypress Cir,"Rock Springs, WY 82901",4
"$209,000",913 Madison Dr,"Rock Springs, WY 82901",3
"$199,900",1344 Teton Street,"Rock Springs, WY 82901",3
"$196,900",4 Minnies Lane,"Rock Springs, WY 82901",3
